title;body;content_type;access_level;status;product;severity
What is Nexora?;Nexora is a B2B SaaS company focused on digital operations and process automation. It provides a cloud-based platform that helps organizations automate internal workflows such as HR, compliance, and procurement.;faq;public;validated;Nexora Platform;
What industry is Nexora in?;Nexora operates in the B2B SaaS industry, specializing in digital operations and process automation.;faq;public;validated;Nexora Platform;
What does Nexora do?;Nexora provides a cloud platform that helps organizations standardize and automate internal workflows across functions such as HR, compliance, and procurement.;faq;public;validated;Nexora Platform;
What kind of product does Nexora offer?;Nexora offers a cloud-based workflow automation platform designed to streamline internal operations, reduce manual work, and improve process consistency.;faq;public;validated;Nexora Platform;
Which workflows can Nexora automate?;Nexora supports automation of internal workflows including HR processes, compliance workflows, and procurement-related processes.;faq;public;validated;Nexora Platform;
Is Nexora a cloud platform?;Yes. Nexora's product is a cloud-based platform that automates and manages internal workflows such as HR, compliance, and procurement.;faq;public;validated;Nexora Platform;
How many employees does Nexora have?;Nexora has approximately 320 employees.;faq;public;validated;Nexora Company;
How large is Nexora?;Nexora employs around 320 people across multiple business functions.;faq;public;validated;Nexora Company;
How is Nexora organized internally?;Nexora is organized into core functions including Product and Engineering, Sales, Customer Success, Marketing, Operations and Compliance, IT and Data, and Knowledge and Enablement.;faq;public;validated;Nexora Company;
What does the Product and Engineering team do?;The Product and Engineering team is responsible for designing, building, and improving the Nexora platform.;faq;public;validated;Nexora Company;
What does the Sales team do?;The Sales team engages with prospects and customers, explains Nexora's value proposition, and supports commercial discussions.;faq;public;validated;Nexora Company;
What does the Customer Success team do?;Customer Success helps customers use Nexora effectively after onboarding and supports them in achieving value from workflow automation.;faq;public;validated;Nexora Company;
What does the Operations and Compliance team do?;Operations and Compliance focuses on operational excellence and ensuring processes align with internal standards and compliance requirements.;faq;public;validated;Nexora Company;
What is IT and Data responsible for?;IT and Data supports internal technology operations and data capabilities that enable secure and efficient operations.;faq;public;validated;Nexora Company;
What is the Knowledge and Enablement function?;Knowledge and Enablement is responsible for maintaining validated and official information to ensure consistent and accurate communication.;faq;public;validated;Nexora Company;
Why did Nexora create a Knowledge and Enablement function?;Nexora created Knowledge and Enablement to standardize information, reduce inconsistent responses, and ensure teams and customers rely on validated content.;faq;public;validated;Nexora Company;
Troubleshooting: Unable to log in;If you are unable to log in, try verifying your credentials, resetting your password, clearing your browser cache, or using an incognito window. If the issue continues, contact support with the time of the error.;troubleshooting;public;validated;Nexora Platform;
Troubleshooting: Login timeout error;If login times out, check your internet connection, refresh the page, and try again after a few minutes. Switching browsers or clearing cache may help.;troubleshooting;public;validated;Nexora Platform;
Troubleshooting: CSV export not working;If CSV export does not work, try reducing the date range or exporting smaller datasets. Make sure pop-ups are allowed in your browser.;troubleshooting;public;validated;Nexora Analytics;
Troubleshooting: Changes not saved;If changes are not saved, refresh the page and try again. Ensure you click the save button and wait for confirmation before leaving the page.;troubleshooting;public;validated;Nexora Platform;
Troubleshooting: Slow platform performance;If the platform feels slow, check your internet connection, close unused browser tabs, and try again later using the latest browser version.;troubleshooting;public;validated;Nexora Platform;
Known Issue: CSV export fails for large reports;Some users may experience errors when exporting very large reports to CSV. As a workaround, reduce the date range or export data in smaller parts. A permanent fix is planned.;known_issue;public;validated;Nexora Analytics;medium
Known Issue: Delayed email notifications;Email notifications may be delayed during peak usage periods. Messages are not lost and will be delivered once the delay is resolved.;known_issue;public;validated;Nexora Platform;low
Known Issue: Session timeout after inactivity;Sessions may time out after a period of inactivity for security reasons. Please save your work regularly and log in again if this occurs.;known_issue;public;validated;Nexora Platform;low
Known Issue: Dashboard data refresh delay;Dashboard data may not update in real time and can be delayed by a few minutes. Refreshing the page usually resolves the issue.;known_issue;public;validated;Nexora Analytics;low
